t,x,y,z,vx,vy,vz,CD,CL,Cside,Fx,Fy,Fz,Tx,Ty,Tz,rpm,steps,fresh
0.009784049,0.08221231,4.6364927e-5,1.7499777,38.924828,0.043890744,-0.02109567,1.1908221,0.7189119,0.003561607,-4.776228,2.8761203,0.017038409,0.0008817605,-0.0010667158,-0.00038988987,2707.7605539795873,1224,8
0.009847998,0.084701404,4.921221e-5,1.7499764,38.92272,0.045159172,-0.021715272,1.1334033,0.7124313,0.002428357,-4.54566,2.8499484,0.012449441,0.00051038415,-0.0006126922,-0.0004677572,2707.7577563341033,1232,0
0.009911946,0.08719037,5.2140236e-5,1.749975,38.920715,0.04641606,-0.022336898,1.0633942,0.7010939,-0.005922208,-4.264701,2.804412,-0.021101525,-0.00027903228,0.00017988692,-0.00036281245,2707.754336989623,1240,12
0.009975894,0.08967921,5.5147997e-5,1.7499735,38.918835,0.047652863,-0.022973321,1.0135677,0.6949549,-0.006830905,-4.0647006,2.7796512,-0.02479162,-0.00014723351,0.0002723722,-0.0005936422,2707.7515393441386,1248,0
0.010039843,0.092167936,5.82345e-5,1.7499721,38.91704,0.048878748,-0.02361137,0.9884525,0.6824178,-0.0032941464,-3.9637175,2.7291625,-0.01061887,-9.1855254e-5,-2.7133781e-5,-0.0009675015,2707.7471874511634,1256,8
0.010103791,0.09465655,6.1398685e-5,1.7499706,38.915295,0.050082367,-0.024243169,0.9763558,0.67544425,-0.0002612957,-3.9149425,2.7009194,0.0015648524,-6.9713875e-5,0.0001280155,-0.0009816997,2707.7400379127043,1264,0
0.010167739,0.09714505,6.463944e-5,1.749969,38.913567,0.05127353,-0.024869595,0.9884747,0.6625311,0.00544831,-3.963141,2.648766,0.02452623,2.5032676e-5,-2.6442503e-5,-0.0012679988,2707.732577524747,1272,12
0.010231688,0.09963344,6.795563e-5,1.7499673,38.91182,0.05244169,-0.025485894,1.0084811,0.64508474,0.0021570849,-4.042913,2.578421,0.011452132,-1.2113172e-6,3.994078e-5,-0.0012442308,2707.7229411903018,1280,0
0.010295636,0.10212172,7.134553e-5,1.7499657,38.910038,0.053578828,-0.02610796,0.99873203,0.62830067,0.003376813,-4.003478,2.510899,0.016370116,0.00015828692,0.00029436208,-0.0013376734,2707.713615705355,1288,4
0.010359584,0.104609884,7.48072e-5,1.749964,38.90827,0.054686185,-0.026727855,0.9824316,0.6250434,0.0025553992,-3.937891,2.4976044,0.013095201,6.1236075e-5,9.3513605e-5,-0.0013523855,2707.703668521412,1296,0
0.010423533,0.10709794,7.833949e-5,1.7499622,38.906536,0.05578768,-0.027349196,0.9990164,0.6224739,0.007442738,-4.0039945,2.4868846,0.032773152,0.0002867301,6.328246e-5,-0.00064540387,2707.6934104879706,1304,5
0.010487481,0.10958588,8.1942075e-5,1.7499604,38.90477,0.056884445,-0.02796186,1.0469875,0.60737145,0.0060978183,-4.1956935,2.425795,0.02758202,0.00019770162,5.5277476e-5,-0.0010141934,2707.6884368959986,1312,0
0.010551429,0.112073705,8.561393e-5,1.7499586,38.90292,0.05795427,-0.028576812,1.1507307,0.5815724,0.00027555868,-4.6105747,2.3215415,0.0046338085,-0.0002141107,-0.00023253936,-0.00086934026,2707.680665658543,1320,8
0.010615378,0.1145614,8.9352725e-5,1.7499568,38.900887,0.058978118,-0.029201884,1.2085667,0.57567537,0.0011018411,-4.8416443,2.2972186,0.008189121,-5.2412608e-5,-0.00013519659,-0.0011472978,2707.6744486685784,1328,0
0.010679326,0.117048964,9.3156654e-5,1.7499549,38.89875,0.05999124,-0.029825388,1.1668161,0.56838006,0.0070710406,-4.6739926,2.2678947,0.03203024,0.00067690783,0.00034516564,-0.0015110883,2707.665744882628,1336,12
0.010743274,0.1195364,9.702495e-5,1.749953,38.89669,0.06099143,-0.030438377,0.99615026,0.5645082,0.0069113662,-3.9904678,2.2531092,0.030923888,0.00022611694,0.00014541154,-0.0013197773,2707.654243451194,1344,0
0.010807223,0.12202371,0.000100957004,1.7499511,38.89493,0.061985098,-0.031051854,0.77528095,0.54889655,0.008819871,-3.1061409,2.1917338,0.03791145,-4.208858e-5,-0.00047053077,-0.0012505742,2707.644296267251,1352,16
0.010871171,0.12451092,0.00010495174,1.7499491,38.893562,0.0629517,-0.031662248,0.59279203,0.5312443,0.006006542,-2.3756042,2.122046,0.026103295,-6.388002e-5,-0.00023043636,-0.0012645604,2707.6349707823038,1360,0
0.010935119,0.12699805,0.0001090073,1.7499471,38.892513,0.06388757,-0.032277852,0.5759402,0.51932645,0.004911029,-2.308019,2.0742962,0.02169811,-5.3026208e-5,-0.00012958197,-0.00088673655,2707.6253344478587,1368,14
0.010999068,0.12948512,0.000113122034,1.749945,38.891495,0.06480237,-0.032895397,0.74000615,0.49750128,0.0036574025,-2.964281,1.9857111,0.017267847,-8.926076e-5,-8.069266e-5,-0.0010240681,2707.618806608396,1376,0
0.011063016,0.1319721,0.00011729402,1.7499429,38.890186,0.06567811,-0.0335149,0.99541223,0.4711003,0.003442817,-3.985832,1.878154,0.017329589,0.00028323065,-8.033192e-5,-0.00089602097,2707.6110353709405,1384,14
0.011126964,0.134459,0.00012152049,1.7499408,38.888428,0.066506416,-0.034134373,1.2108057,0.4570293,0.0025609604,-4.847134,1.8201327,0.014616731,6.816341e-5,-2.8494129e-5,-0.0010096931,2707.604507531478,1392,0
0.011190913,0.13694577,0.00012579911,1.7499386,38.88629,0.06730913,-0.034755044,1.2715033,0.4502338,0.0013225229,-5.0894,1.7922286,0.009954018,-7.584668e-5,0.0002462573,-0.0019104432,2707.596736294022,1400,12
